"","","","","",
"Ama-Tsu-Mara","Intermediate deity/Lesser deity","Neutral","Blacksmithing and weapon making, blacksmiths, weapons","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Amaterasu (Amaterasu Omikami) (Amerterasu)","Intermediate deity/Greater deity","Lawful Good","Light, sun","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Dragon magazine #13 - The Japanese Mythos",
"Amatsu-Mikaboshi","Intermediate deity","Lawful Evil","evil","On Hallowed Ground, Legends & Lore (Second Edition)",
"Amaunator","Greater deity","Lawful Neutral","Bureaucracy, contracts, law, order, rulership, the sun","Lost Empires of Faerun, Arcane Age: The Empire of Netheril, On Hallowed Ground, Faiths & Avatars",
"Ambat","divine level unknown","not listed","pottery and woodworking","Dragon magazine #29 - The Mythos of Oceania in Dungeons & Dragons",
"Amida-Nyorai","divine level unknown","not listed","not listed","Dragon magazine #13 - The Japanese Mythos",
"Amora","divine level unknown","Neutral Good","Love","Dragon magazine #283 - Do-It-Yourself Deities",
"Amset","divine level unknown","not listed","The south","Gods, Demi-Gods & Heroes",
"Ananse","divine level unknown","Lawful Good","Ashante warriors, craftsmen, messengers, Spider people, spiders, ugly people","Dragon magazine #215 - The Deities of Africa",
"Angharradh","Greater deity","Chaotic Good","birth, defense, fertility, planting, Spring, wisdom","Faiths & Pantheons, Demihuman Deities",
"Anguileusis","Demigod","Lawful Evil","not listed","Sea of Blood",
"Anhur","Lesser deity","Chaotic Good","conflict, physical prowess, Rain, storms, thunder, War","Faiths & Pantheons, Warriors of Heaven, Powers & Pantheons, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Aniu","divine level unknown","Neutral","Time","The Unknown Gods",
"Annam","Greater deity","Neutral","fertility, Giants, knowledge, magic, philosophy","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Defenders of the Faith, Warriors of Heaven, On Hallowed Ground, Giantcraft, Monster Mythology",
"Anshar","Lesser deity","Neutral Evil (Chaotic Evil)","Darkness, night","Sandstorm, On Hallowed Ground, Deities & Demigods (First Edition)",
"Antum","divine level unknown","not listed","not listed","Dragon magazine #16 - Near Eastern Mythos",
"Anu (An) (El)","Greater deity","Lawful Neutral","Sky, the Babylonian pantheon","Sandstorm, On Hallowed Ground, Deities & Demigods (First Edition), Dragon magazine #16 - Near Eastern Mythos, Dragon magazine #329 - Mesopotamian Mythos",
"Anubis","Lesser deity","Lawful Neutral (Lawful Good)","death, guardian of dead gods, Judgement, the dead","Sandstorm, Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, On Hallowed Ground, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Ao","Overdeity","N/A","Creation of deities, maintenance of cosmic balance","On Hallowed Ground, Faiths & Avatars",
"Aos","divine level unknown","Neutral","Wealth","Dragon magazine #283 - Do-It-Yourself Deities",
"Aoskar","Greater deity","Neutral","Portals","On Hallowed Ground",
"Apep","Demigod","Neutral Evil (Chaotic Evil)","chaos, evil, Fire, serpents","Sandstorm, Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities",
"Apesh","divine level unknown","not listed","Greed and evil","Gods, Demi-Gods & Heroes",
"Aphrodite","Intermediate deity/Greater deity","Chaotic Good","Beauty, Love","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Apollo","Intermediate deity/Greater deity","Chaotic Good","archery, healing, Light, music, prophecy, sun","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Apshai","Demigod","Neutral","Insects","On Hallowed Ground, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Apsu","divine level unknown","not listed","not listed","Dragon magazine #16 - Near Eastern Mythos",
"Araleth Letheranil","Lesser deity","Chaotic Good","Light, starlight, twilight","Dragon magazine #236 - The Seldarine Revisited, Dragon magazine #155 - The Elfin Gods",
"Arawai","divine level unknown","Neutral Good","abundance, fertility, plant life","Eberron Campaign Setting",
"Arawn (Donn)","Intermediate deity/Greater deity","Lawful Evil (Neutral Evil)","Life and death, the dead","Dragon magazine #283 - Do-It-Yourself Deities, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Ardvi Sura Anahita","divine level unknown","Lawful Good","fertility, The strong, undefiled waters","Dragon magazine #12 - The Persian Mythos",
"Ares","Intermediate deity/Greater deity","Chaotic Evil (Chaotic Neutral)","battle, killing, strife, War","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Argena","divine level unknown","Chaotic Good","The moon","Dragon magazine #283 - Do-It-Yourself Deities",
"Arioch","Greater deity","Chaotic Evil","chaos, evil","Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Artemis","Intermediate deity/Lesser deity","Neutral Good (Neutral)","childbirth, dance, Hunting, moon, wild beasts","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Arvoreen","Intermediate deity/Lesser deity","Lawful Good","defense, duty, halfling warriors, protection, vigilance, War","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Races of the Wild, Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology, Dragon magazine #171 - Defenders of the Hearth, Dragon magazine #59 - The Gods of the Halflings",
"Asase Ya","divine level unknown","Neutral","Beauty, childbirth, Earth, fidelity, nature, tree, water spirits","Dragon magazine #215 - The Deities of Africa",
"Asclepius","Intermediate deity","Lawful Good (Neutral Good)","Healing and medicine","Age of Heroes, Dragon magazine #153 - Following in Their Footsteps",
"Aslak","Greater deity","Lawful Good","Uldras","Dragon magazine #119 - The Uldra",
"Aslan","Lesser deity","Lawful Good","Lions, strong beasts","Dragon magazine #54 - Down-to-earth divinity",
"Asterius","Lesser deity","Neutral Good","merchants, Trade","Warriors of Heaven",
"Astilabor","Lesser deity/Intermediate deity/Greater deity","Neutral (Chaotic Neutral)","Acquisitiveness, status, Wealth","Draconomicon (Third Edition), Cult of the Dragon, Draconomicon (Second Edition)",
"Asura","divine level unknown","not listed","not listed","Gods, Demi-Gods & Heroes",
"Atea","divine level unknown","not listed","not listed","Dragon magazine #20 - The Mythos of Polynesia in Dungeons & Dragons",
"Athena (Athene)","Greater deity/Intermediate deity","Lawful Good","civilization, combat, crafts, War, wisdom","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Atroa","Lesser deity","Neutral Good","east wind, renewal, Spring","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Dragon magazine #263 - The Oeridian Lesser Gods, Warriors of Heaven, Player's Guide to Greyhawk, The Temple of Elemental Evil",
"Atruaghin","Greater deity","Lawful Neutral","Fire, peace, truth","Warriors of Heaven",
"Atzanteotl","Greater deity","Chaotic Evil","corruption (especially of nobility and entire societies), Decay","Dragon magazine #315 - Hollow World: Sundering Ka",
"Aulasha","Demigoddess","Lawful Good","books, grief, Learning","Races of Destiny",
"Auppenser","divine level unknown","Neutral","Enlightenment, psionics, serenity","Lost Empires of Faerun",
"Aureon","divine level unknown","Lawful Neutral","Lore and magic","Eberron Campaign Setting",
"Auril","Lesser deity/Demigoddess","Neutral Evil","Cold, winter","Frostburn, Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), On Hallowed Ground, Faiths & Avatars, Forgotten Realms Adventures, Dragon magazine #54 - Down-to-earth divinity",
"Avani","Greater deity","Lawful Neutral","magic, reason, sun","On Hallowed Ground, Birthright Campaign Setting",
"Aventernus","divine level unknown","Lawful Good","justice and fair practices, the application of strength in the assistance of the weak, the aventi","Stormwrack",
"Aya","divine level unknown","not listed","The dawn","Dragon magazine #16 - Near Eastern Mythos",
"Ayailla","divine level unknown","Neutral Good","good sky creatures, Light","Book of Exalted Deeds",
"Ayu","divine level unknown","Chaotic Good","The winds","The Unknown Gods",
"Azathoth","Greater deity","Chaotic Evil (Chaotic Neutral)","chaos","Call of Cthulhu d20, Deities & Demigods (First Edition)",
"Azor'alq","Hero God","Neutral Good","courage, Light, purity, strength","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Blood of Heroes, Living Greyhawk Journal no. 3 - Gods of Oerth",
"Azul","divine level unknown","Lawful Evil","moisture, Rain","Sandstorm, Maztica Campaign Set",
"Azuth","Lesser deity/Demigod","Lawful Neutral","energy, mages, magic users, monks (Shining Hand), spellcasters in general, Wizards","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Warriors of Heaven, On Hallowed Ground, Faiths & Avatars, Forgotten Realms Adventures, Dragon magazine #54 - Down-to-earth divinity",
"Bachontoi","divine level unknown","Lawful Good","Red wisdom, sages","The Unknown Gods",
"Baervan Wildwanderer","Intermediate deity/Lesser deity","Neutral Good","adventure, forest gnomes, Forests, nature, thieves, travel","Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology, Dragon magazine #61 - The Gods of the Gnomes",
"Bahamut (Xymor)","Lesser deity/Greater deity","Lawful Good","enlightened justice, Good dragons, wind, wisdom","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Draconomicon (Third Edition), Deities & Demigods (Third Edition), Defenders of the Faith, Warriors of Heaven, Cult of the Dragon, On Hallowed Ground, Monster Mythology, Draconomicon (Second Edition) (as Xymor)",
"Bahgtru","Lesser deity/Intermediate deity","Chaotic Evil (Lawful Evil)","brute strength, combat, Loyalty, stupidity","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Faiths & Pantheons, On Hallowed Ground, Monster Mythology, Dragon magazine #62 - The Gods of the Orcs",
"Bala","divine level unknown","N/A","music","Land of Fate",
"Balador","Lesser deity","Chaotic Good","fraternity, protection, Werebears","Warriors of Heaven, On Hallowed Ground, Monster Mythology",
"Balder (Baldur)","Intermediate deity/Greater deity","Neutral Good","Beauty, charisma, Light, music, poetry, rebirth","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Balinor","divine level unknown","Neutral","Hunting and animal life","Eberron Campaign Setting",
"Balor","divine level unknown","Lawful Evil","The Fomor","Dragon magazine #283 - Do-It-Yourself Deities",
"Bandorack","divine level unknown","Neutral","Feline animals","The Unknown Gods",
"Bane","Greater deity","Lawful Evil","fear, hatred, strife, tyranny","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), On Hallowed Ground, Faiths & Avatars, Forgotten Realms Adventures, Dragon magazine #54 - Down-to-earth divinity",
"Baphomet","Lesser deity","Chaotic Evil","battle, minotaurs, vengeance","On Hallowed Ground, Giantcraft, Monster Mythology",
"Baravar Cloakshadow","Lesser deity","Neutral Good (Neutral)","deceptions, hatred of goblinoids, Illusions, protection, traps, wards","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology",
"Bargrivyek (Bagrivyek)","Lesser deity","Neutral Evil (Lawful Evil)","Cooperation, territory","http://www.wizards.com/rpga/downloads/LG_Deities.zip, On Hallowed Ground, Monster Mythology",
"Baron Samedi","divine level unknown","Chaotic Neutral","ancestral knowledge, cemeteries, death, eroticism","Dragon magazine #288 - Four Faces of Death",
"Bast","Lesser deity","Chaotic Good","Cats, pleasure, pleasure seekers, protection, punishment, vengeance","Sandstorm, Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Battle Rager","divine level unknown","Chaotic Neutral","battle, berserking, chaos, courage","Kingdoms of Kalamar Campaign Setting",
"Bear, The","divine level unknown","Neutral","nature","Kingdoms of Kalamar Campaign Setting",
"Belenus","Intermediate deity","Neutral Good","heat, Light, sun","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition)",
"Belinik","Intermediate deity","Chaotic Evil","battle, fear, feuds","On Hallowed Ground, Birthright Campaign Setting",
"Belit-Sheri","divine level unknown","not listed","not listed","Dragon magazine #16 - Near Eastern Mythos",
"Beltar","Lesser deity","Chaotic Evil (Chaotic Neutral)","deep caves, Malice, pits","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, The Scarlet Brotherhood, Player's Guide to Greyhawk, The Temple of Elemental Evil, Dragon magazine #89 - Gods of the Suel Pantheon",
"Ben-Hadar","Demigod","Neutral Good","Water","Warriors of Heaven",
"Benekander","Demigod","Lawful Neutral","Restraint","Warriors of Heaven",
"Benten","divine level unknown","not listed","literature and music, Luck, the sea","Dragon magazine #13 - The Japanese Mythos",
"Beory","Greater deity","Neutral (Neutral Good)","nature, Oerth mother, Rain","http://www.wizards.com/rpga/downloads/LGBBSS_v1-0.zip, http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, Player's Guide to Greyhawk, On Hallowed Ground, The Temple of Elemental Evil",
"Berei","Lesser deity","Neutral Good","agriculture, family, Home","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, Player's Guide to Greyhawk, The Temple of Elemental Evil",
"Berna","Demigoddess","Chaotic Neutral (Neutral)","Passion and forgiveness (formerly hatred and vendettas)","http://www.wizards.com/rpga/downloads/LG_Deities.zip, The Scarlet Brotherhood",
"Berronar Truesilver","Intermediate deity/Greater deity","Lawful Good","faithfulness, familial love, healing, Home, honesty, Loyalty, marriage, oaths, obligations, protector of dwarven children, records, Safety, the dwarven family, truth","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology, Dragon magazine #58 - The Gods of the Dwarves",
"Bes","Lesser deity","Chaotic Neutral (Neutral)","Luck, music, protecting","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Beshaba","Intermediate deity/Lesser deity","Chaotic Evil","accidents, bad luck, betrayal, misfortune, Random mischief, treachery","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), On Hallowed Ground, Faiths & Avatars, Forgotten Realms Adventures, Dragon magazine #54 - Down-to-earth divinity",
"Besparr","Demigod","Chaotic Good","Horses","Dragon magazine #54 - Down-to-earth divinity",
"Beytnorn","divine level unknown","Neutral","Trees","The Unknown Gods",
"Bhaal","Intermediate deity/Lesser deity","Lawful Evil","Assasination, death, especially violent or ritual death, murder, violence","Lost Empires of Faerun, On Hallowed Ground, Faiths & Avatars, Forgotten Realms Adventures, Dragon magazine #54 - Down-to-earth divinity",
"Bishamon","divine level unknown","not listed","Luck","Dragon magazine #13 - The Japanese Mythos",
"Bleredd","Lesser deity","Neutral (Chaotic Neutral)","Metal, miners, mines, smiths","Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, Player's Guide to Greyhawk, The Temple of Elemental Evil",
"Bleskuta","divine level unknown","not listed","Ambition","Dragon magazine #24 - Choir Practice at the First Church of Lawful Evil (Orthodox): The Ramifications of Alignment",
"Blibdoolpoolp","Intermediate deity/Lesser deity","Chaotic Evil (Neutral Evil)","Darkness, insanity, Kuo-toas, revenge","Stormwrack, http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Defenders of the Faith, On Hallowed Ground, Monster Mythology, Deities & Demigods (First Edition), Dragon magazine #342 - “Spellcraft: Alien Blessings”",
"Blizzard","Demigod","Neutral Good","Survival","Dragon magazine #223 - Primal Rage",
"Blood Queen, The","Intermediate deity","Lawful Evil","Domination, oppression","Night Below",
"Bloodstained God","divine level unknown","not listed","not listed","Gods, Demi-Gods & Heroes",
"Boccob","Greater deity","Neutral","arcane knowledge, balance, foreknowledge, foresight, magic, neutrality, nonintervention","Dragon magazine #338 - Core Beliefs: Boccob, http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Player's Handbook (Third Edition Revised), Deities & Demigods (Third Edition), Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Player's Handbook (Third Edition), Warriors of Heaven, Player's Guide to Greyhawk, On Hallowed Ground, Greyspace, Greyhawk Adventures, The Temple of Elemental Evil, Dragon magazine #70 - The Deities & Demigods of the World of Greyhawk",
"Boldrei","divine level unknown","Lawful Good","Community","Eberron Campaign Setting",
"Bondorr","divine level unknown","Neutral","Swords","The Unknown Gods",
"Bragi","Intermediate deity/Lesser deity","Neutral Good","eloquence, music, poetry, song","Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Brahman (Brahama)","Greater deity","Neutral","Everything","Legends & Lore (Second Edition), Gods, Demi-Gods & Heroes",
"Bralm","Lesser deity","Neutral (Lawful Neutral) (Lawful Evil)","industriousness, industry, Insects","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, The Scarlet Brotherhood, Player's Guide to Greyhawk, The Temple of Elemental Evil, Dragon magazine #92 - Gods of the Suel Pantheon",
"Branchala","Intermediate deity","Chaotic Good (Neutral Good)","bards, Beauty, Forests, music, poetry","Dragonlance Campaign Setting (Third Edition), Warriors of Heaven, On Hallowed Ground, Dragonlance Adventures",
"Brandobaris","Lesser deity/Demigod","Neutral","adventurers, adventuring, halfling rogues, Stealth, thievery, thieves","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Races of the Wild, Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Demihuman Deities, On Hallowed Ground, Monster Mythology, Dragon magazine #171 - Defenders of the Hearth, Dragon magazine #59 - The Gods of the Halflings",
"Braz-Kazen","divine level unknown","Chaotic Neutral","Smoke","The Unknown Gods",
"Breeka","Intermediate deity","Neutral","Living things","http://www.wizards.com/rpga/downloads/LG_Deities.zip, The Scarlet Brotherhood",
"Brigantia","Intermediate deity","Neutral Good","Rivers and livestock","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition)",
"Brigit (Git)","Lesser deity","Chaotic Good (Neutral)","Fire, poetry","Dragon magazine #283 - Do-It-Yourself Deities, Dragon magazine #65 - Tuatha De Danann, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Brihaspati","Intermediate deity","Lawful Good","wisdom, worship","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition)",
"Bugal","divine level unknown","not listed","Rain","Dragon magazine #29 - The Mythos of Oceania in Dungeons & Dragons",
"Bukera","divine level unknown","Lawful Neutral","Desert Mountains","The Unknown Gods",
"Bumba","divine level unknown","Lawful Neutral","animal spirits, Fire, law, planets, stars, teaching","Dragon magazine #215 - The Deities of Africa",
"Bunosi & Kafisi","divine levels unknown","not listed","not listed","Dragon magazine #29 - The Mythos of Oceania in Dungeons & Dragons",
"Cagn (Mantis) (Kaggen)","divine level unknown","Chaotic Neutral","birds, Insects, mantis men, mischief, snake men (nagas)","Dragon magazine #215 - The Deities of Africa",
"Cairbre","Lesser deity","Chaotic Good (Neutral Good)","bards, music","Dragon magazine #283 - Do-It-Yourself Deities, Dragon magazine #65 - Tuatha De Danann",
"Calitha Starbrow","Lesser deity","Neutral Good","oceans, Sea elves","Warriors of Heaven",
"Callarduran Smoothhands","Intermediate deity","Neutral (Neutral Good)","Earth, mining, protection, secrecy, Stone, the svirfneblin, the Underdark","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Races of Stone, Complete Divine, Faiths & Pantheons, Defenders of the Faith, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology",
"Camaxtli (Camatli)","Greater deity","Neutral","Fate","Dragon magazine #283 - Do-It-Yourself Deities, Deities & Demigods (First Edition)",
"Camazotz (Tezcat) (Zotzilaha) (Zotz)","Lesser deity","Chaotic Evil (Neutral Evil)","Bats, evil, the underworld, vampires","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Dragon magazine #283 - Do-It-Yourself Deities, The Scarlet Brotherhood, Dragon magazine #54 - Down-to-earth divinity, Deities & Demigods (First Edition)",
"Caoimhin","Demigod","Neutral (Chaotic Good)","Food, shy friendship","On Hallowed Ground, Monster Mythology",
"Carratriatuh","Demigod","Neutral","Greenmen","White Dwarf magazine #41 - Inhuman Gods part III",
"Cas","Demigod","Neutral Evil","Spite, vengeance","Heroes of Horror",
"Cegilune","Lesser deity","Neutral Evil","hags, Larvae, The moon","Dragon #345 - The Ecology of the Annis Hag, On Hallowed Ground, Monster Mythology",
"Celestian","Intermediate deity/Lesser deity","Neutral (Neutral Good)","astronomy, space, stars, wanderers, wandering","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, Player's Guide to Greyhawk, On Hallowed Ground, Greyspace, Greyhawk Adventures, The Temple of Elemental Evil, Dragon magazine #68 - The Deities & Demigods of the World of Greyhawk",
"Centeotl","Intermediate deity","Chaotic Neutral","agriculture, illness, pain","Legends & Lore (Second Edition)",
"Cerunnos","divine level unknown","Neutral","nature","Dragon magazine #65 - Tuatha De Danann",
"Ch'eng Huang","Demigods","usually Lawful and/or Good","Specific locality","Legends & Lore (Second Edition)",
"Chaav","divine level unknown","Chaotic Good","delight, Enjoyment, pleasure","Book of Exalted Deeds",
"Chalchihuitlicue (Chalchiuhtlicue)","Lesser deity/Intermediate deity","Neutral Good (Chaotic Good)","Beauty, children, Flowing water, life, Love","Dragon magazine #354 - Aztec Mythos II, Dragon magazine #283 - Do-It-Yourself Deities, Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Chameleon","divine level unknown","Lawful Neutral","Patience and change","Dragon magazine #191 - An African Genesis",
"Champion, The","Greater deity","Lawful Neutral","Courage, battle, and martial skill","White Dwarf magazine #55 - The Gods of the Shapelings",
